ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.550983830704,5653.588149547572,24309.620473816052
2014-02-28,5778.650833160918,-3695.63958344425,15286.285680716353
2014-03-31,41875.5392475174,32949.493692948745,51683.04874660409
2014-04-30,25662.621286899812,16699.606064885014,34682.20139306639
2014-05-31,25711.964323242493,15862.450928753578,34503.22277323489
2014-06-30,26711.789135277228,17913.145323474455,36073.46055232767
2014-07-31,26438.194265745107,17069.96309058554,34526.40094981872
2014-08-31,30856.688534625035,21755.352718573613,39870.44639013123
2014-09-30,67620.93155921252,58099.394454519315,76480.30574656253
2014-10-31,36077.50434370204,26914.814683569693,45108.04315610089
2014-11-30,78301.38683015284,68989.57444013827,88104.66090443896
2014-12-31,69991.51876150677,60708.09672219437,78666.08066552397
2015-01-31,18738.33688790348,9158.601490830575,27688.542853342955
2015-02-28,13880.831822697997,4798.9610814059315,22869.247601561314
2015-03-31,49598.83133751666,40950.596399648224,58285.35646634248
2015-04-30,34575.92268679369,25452.63537328459,43967.401875122625
2015-05-31,26387.65749568148,17756.51346522773,36318.26714421489
2015-06-30,31085.988087829654,22141.9176379251,40387.85840566809
2015-07-31,33255.78933520538,24491.25608531025,42051.10324519447
2015-08-31,40664.397105577096,32226.013142219053,50027.87386990009
2015-09-30,76491.8894551633,67246.15013976581,86567.50083742957
2015-10-31,35984.30677265799,26697.201669307873,44573.35694098413
2015-11-30,86921.24355065028,77436.23382540247,96016.55877771789
2015-12-31,75920.55148089194,67129.72866871367,85173.2511469475
2016-01-31,23165.288929953735,13739.65539916481,32461.181705853116
2016-02-29,14902.19072139775,5075.945944281453,24760.014866198977
2016-03-31,51724.015500930014,42360.83325022871,61263.46709507638
2016-04-30,33016.19323029995,24187.328352382076,42077.258926638635
2016-05-31,49868.271642661566,40117.61076181075,59725.129393083764
2016-06-30,44187.752329042574,35111.363793085155,53699.06482067039
2016-07-31,39287.721943632605,29800.67044168727,48521.47322026821
2016-08-31,37700.41540709483,28284.91743834166,47485.504665565306
2016-09-30,75996.54011825382,66824.6442404684,85838.10587985475
2016-10-31,62955.95813713916,54236.23439135185,72248.5317856183
2016-11-30,88181.8499533379,79163.40040134039,97817.17832679572
2016-12-31,85608.06710444672,76424.94876644084,95102.8863465536
2017-01-31,38211.250420367694,29043.01137847672,47820.12295239469
2017-02-28,25246.80226462465,15307.782144954992,34520.600381453
2017-03-31,61846.21111498451,52703.265692300054,71325.16518657618
2017-04-30,44535.898988426874,35866.17673338402,54411.41595602273
2017-05-31,53069.88302785264,43349.18122591445,61540.54501797907
2017-06-30,50739.930795216496,41382.17064597714,60039.18914818978
2017-07-31,48243.23963381036,39450.54347535527,57600.58221571803
2017-08-31,49797.26046095269,40260.086042441966,59245.982671090664
2017-09-30,87518.48039488457,77929.36254660666,96220.06360521233
2017-10-31,65271.21415177584,56038.336538345735,74500.85255834709
2017-11-30,99056.46948225854,89965.10111710244,108438.29979489521
2017-12-31,93756.91395085138,83978.76429652728,103328.04382161795
2018-01-31,44491.106020627936,35381.46890658997,54625.48345641786
2018-02-28,35661.33917706103,26035.45233279016,44788.929531598274
2018-03-31,71959.87517904694,62870.3544345248,80527.5323762604
2018-04-30,55942.10004520218,46074.31444739485,65688.41774390513
2018-05-31,56193.09066844738,47460.719160709225,65797.21699121843
2018-06-30,57388.0583042009,48279.310228388,66735.20173365077
2018-07-31,57316.111019195276,47931.46532785434,66422.35555197693
2018-08-31,61936.252872544996,52293.968445782084,71251.19866072426
2018-09-30,98895.63872203283,89240.34908032026,108108.71893050017
2018-10-31,67553.85909235776,58571.45541668608,76861.51212730882
2018-11-30,109972.88439975589,100622.33335311618,119181.3159162692
2018-12-31,101864.66391479045,92578.25845696327,111439.82170481226
